Year,Month,Day,Weekend?,Hour,Primary Factor,Latitude,Longitude
2015,4,5,1,1600,4,39.16309007,-86.52020998

2015,4,5,1,1300,15,39.164448,-86.471888

2015,4,5,1,1700,4,39.166944,-86.495056

2015,4,5,1,1800,24,39.16425613,-86.51640058

2015,4,2,1,1500,7,39.08251493,-86.4199346

2015,4,5,1,1600,14,39.092944,-86.544

2015,4,1,0,0,12,39.11371503,-86.53948031

2015,4,5,1,1800,14,39.17896,-86.521088

2015,4,6,1,200,1,39.16864,-86.533568

2015,4,6,1,700,2,39.150544,-86.508288

2015,4,6,1,800,2,39.18907166,-86.52171325

2015,4,6,1,800,2,39.16902128,-86.534784

2015,4,6,1,1100,8,39.167648,-86.534784

2015,4,6,1,900,3,39.165648,-86.5336

2015,4,6,1,1200,8,39.16410678,-86.51519608

2015,4,6,1,700,3,39.16037969,-86.55083008

2015,4,6,1,1400,2,39.164352,-86.510944

2015,4,6,1,1400,2,39.185392,-86.537856

2015,4,6,1,1400,8,39.1770104,-86.5296

2015,4,6,1,1600,2,39.16424,-86.492944

2015,4,6,0,2000,7,39.178944,-86.533392

2015,4,6,1,1400,4,39.165696,-86.508208

2015,4,6,1,1800,15,0,0

2015,4,6,1,1400,8,39.16299853,-86.53885649

2015,4,4,1,1900,2,39.15944,-86.53488

2015,4,6,0,2100,2,39.16424,-86.4984

2015,4,7,0,2300,8,39.16444703,-86.52575968

2015,4,7,0,0,4,39.171632,-86.523536

2015,4,6,0,1900,8,39.232544,-86.540704

2015,4,7,0,1400,2,39.17227292,-86.5024615

2015,4,6,1,1600,4,39.16032,-86.527136

2015,4,7,0,100,14,39.169632,-86.5452

2015,4,7,0,1100,14,39.175952,-86.53344

